brand,model,aggregateRating/ratingValue,aggregateRating/reviewCount,offers/price,offers/priceCurrency,depth,width,features/0/description,features/1/description
Dell,i7430-7374SLV-PUS,4.7,1088.0,,USD,8.92,12.36,"Windows 11 brings back the Start Menu from Windows 7 and introduces new features, like the Edge Web browser that lets you markup Web pages on your screen.","Equipped with a FHD+ IPS touch screen, the border-less visual effect minimizes distractions offering better cinema, document and web browsing experience"
Dell,i3520-5810BLK-PUS,4.6,839.0,,USD,9.27,14.11,"Experience the most secure Windows ever built with fast boot times, increased responsiveness, and added protection against phishing and malware.",Natural finger-touch navigation makes the most of Windows 11. The 1920 x 1080 resolution boasts impressive color and clarity. IPS technology for wide viewing angles. Energy-efficient LED backlight.
Lenovo,82YL0002US,4.7,127.0,,USD,8.76,12.51,"Windows 11 brings back the Start Menu from Windows 7 and introduces new features, like the Edge Web browser that lets you markup Web pages on your screen.",Find the relevant information and ideas you need to power your own ingenuity. Copilot in Windows 11 can deliver answers that are more relevant to you.
Microsoft,DTI-00001,4.7,926.0,,USD,7.9,11.5,Find the relevant information and ideas you need to power your own ingenuity. Copilot in Windows 11 can deliver answers that are more relevant to you(1).,"Iconic 2-in-1 design transforms into what you need, when you need it – a full laptop with keyboard, * ultra-portable tablet, perfectly angled digital canvas, or docked workstation."
Microsoft,R1S-00062,4.7,422.0,,USD,8.8,12.1,Find the relevant information and ideas you need to power your own ingenuity. Copilot in Windows 11 can deliver answers that are more relevant to you(1).,"Family, friends, passions, music, creations – Windows 11 is the one place for it all. With a fresh new feel and tools that make it easier to be efficient, it has what you need for whatever’s next."
Dell,i7630-7312SLV-PUS,4.7,944.0,,USD,9.91,14.05,"Windows 11 has all the power and security of Windows 10 with a redesigned and refreshed look. It also comes with new tools, sounds, and apps. Every detail has been considered. All of it comes together to bring you a refreshing experience on your PC","Equipped with a FHD+ IPS touch screen, the border-less visual effect minimizes distractions offering better cinema, document and web browsing experience"
Lenovo,82R400DTUS,4.7,209.0,,USD,14.17,9.29,"Windows 11 brings back the Start Menu from Windows 7 and introduces new features, like the Edge Web browser that lets you markup Web pages on your screen.",Find the relevant information and ideas you need to power your own ingenuity. Copilot in Windows 11 can deliver answers that are more relevant to you.
Lenovo,82YL0005US,4.8,695.0,,USD,8.76,12.51,"Windows 11 brings back the Start Menu from Windows 7 and introduces new features, like the Edge Web browser that lets you markup Web pages on your screen.",Find the relevant information and ideas you need to power your own ingenuity. Copilot in Windows 11 can deliver answers that are more relevant to you.
Samsung,NP750QFG-KA1US,4.8,516.0,,USD,13.99,8.98,"From all night rabbit holes to hobbies to intensive DIY projects, explore your world at the speed of thought. This processor can keep up with your curiosity.","Explore your passions from just about anywhere with Galaxy Book3 360. Featuring a thin, lightweight design that’s made to move with you, this PC is always ready to help you pursue your interests."
ASUS,Q410VA-EVO.I5512,4.7,363.0,,USD,12.67,8.88,"Windows 11 has all the power and security of Windows 10 with a redesigned and refreshed look. It also comes with new tools, sounds, and apps. Every detail has been considered. All of it comes together to bring you a refreshing experience on your PC.","The 14.5"" OLED 2880 x 1800 120Hz display boasts impressive color and clarity with a smooth 0.2ms response time. VESA Display HDR 500 True Black certification and TUV-certified 70% blue-light reduction."
Samsung,NP750QFG-KA2US,4.8,477.0,,USD,13.99,8.98,"From all night rabbit holes to hobbies to intensive DIY projects, explore your world at the speed of thought. This processor can keep up with your curiosity.","Explore your passions from just about anywhere with Galaxy Book3 360. Featuring a thin, lightweight design that’s made to move with you, this PC is always ready to help you pursue your interests."
HP,14-es0033dx,4.7,1731.0,,USD,8.3,12.68,"From a rejuvenated Start menu, to new ways to connect to your favorite people, news, games, and content—Windows 11 is the place to think, express, and create in a natural way.","Your entertainment just got pushed to the very edge. Get expansive, Full High Definition, vibrant images with awesome colors, and intuitively control your PC right from the screen."
